symbol,bidPrice,bidQty,askPrice,askQty
ETHBTC,0.03071000,61.95720000,0.03072000,37.29430000
LTCBTC,0.00078300,497.71500000,0.00078400,255.68800000
BNBBTC,0.00884400,0.45500000,0.00884500,17.66100000
NEOBTC,0.00004083,114.73000000,0.00004091,91.86000000
QTUMETH,0.00000000,0.00000000,0.00000000,0.00000000
EOSETH,0.00000000,0.00000000,0.00000000,0.00000000
SNTETH,0.00000000,0.00000000,0.00000000,0.00000000
BNTETH,0.00000000,0.00000000,0.00000000,0.00000000
BCCBTC,0.00000000,0.00000000,0.00000000,0.00000000
GASBTC,0.00002390,5050.40000000,0.00002410,1108.40000000
BNBETH,0.28780000,17.89000000,0.28790000,10.00000000
BTCUSDT,66930.78000000,1.84724000,66930.79000000,1.21560000
ETHUSDT,2055.97000000,0.01210000,2055.98000000,30.54470000
HSRBTC,0.00000000,0.00000000,0.00000000,0.00000000
OAXETH,0.00000000,0.00000000,0.00000000,0.00000000
DNTETH,0.00000000,0.00000000,0.00000000,0.00000000
MCOETH,0.00000000,0.00000000,0.00000000,0.00000000
ICNETH,0.00000000,0.00000000,0.00000000,0.00000000
MCOBTC,0.00000000,0.00000000,0.00000000,0.00000000
WTCBTC,0.00000000,0.00000000,0.00000000,0.00000000
WTCETH,0.00000000,0.00000000,0.00000000,0.00000000
LRCBTC,0.00000000,0.00000000,0.00000000,0.00000000
LRCETH,0.00000000,0.00000000,0.00000000,0.00000000
QTUMBTC,0.00000000,0.00000000,0.00000000,0.00000000
YOYOBTC,0.00000000,0.00000000,0.00000000,0.00000000
OMGBTC,0.00000000,0.00000000,0.00000000,0.00000000
OMGETH,0.00000000,0.00000000,0.00000000,0.00000000
ZRXBTC,0.00000000,0.00000000,0.00000000,0.00000000
ZRXETH,0.00000000,0.00000000,0.00000000,0.00000000
STRATBTC,0.00000000,0.00000000,0.00000000,0.00000000
STRATETH,0.00000000,0.00000000,0.00000000,0.00000000
SNGLSBTC,0.00000000,0.00000000,0.00000000,0.00000000
SNGLSETH,0.00000000,0.00000000,0.00000000,0.00000000
BQXBTC,0.00000000,0.00000000,0.00000000,0.00000000
BQXETH,0.00000000,0.00000000,0.00000000,0.00000000
KNCBTC,0.00000201,39194.20000000,0.00000202,29879.00000000
KNCETH,0.00000000,0.00000000,0.00000000,0.00000000
FUNBTC,0.00000000,0.00000000,0.00000000,0.00000000
FUNETH,0.00000000,0.00000000,0.00000000,0.00000000
SNMBTC,0.00000000,0.00000000,0.00000000,0.00000000
SNMETH,0.00000000,0.00000000,0.00000000,0.00000000
NEOETH,0.00000000,0.00000000,0.00000000,0.00000000
IOTABTC,0.00000087,97885.00000000,0.00000088,49251.00000000
IOTAETH,0.00000000,0.00000000,0.00000000,0.00000000
LINKBTC,0.00012800,57.74000000,0.00012810,1691.98000000
LINKETH,0.00416600,23.62000000,0.00416700,80.81000000
XVGBTC,0.00000000,0.00000000,0.00000000,0.00000000
XVGETH,0.00000000,0.00000000,0.00000000,0.00000000
SALTBTC,0.00000000,0.00000000,0.00000000,0.00000000
SALTETH,0.00000000,0.00000000,0.00000000,0.00000000
MDABTC,0.00000000,0.00000000,0.00000000,0.00000000
MDAETH,0.00000000,0.00000000,0.00000000,0.00000000
MTLBTC,0.00000000,0.00000000,0.00000000,0.00000000
MTLETH,0.00000000,0.00000000,0.00000000,0.00000000
SUBBTC,0.00000000,0.00000000,0.00000000,0.00000000
SUBETH,0.00000000,0.00000000,0.00000000,0.00000000
EOSBTC,0.00000000,0.00000000,0.00000000,0.00000000
SNTBTC,0.00000000,0.00000000,0.00000000,0.00000000
ETCETH,0.00000000,0.00000000,0.00000000,0.00000000
ETCBTC,0.00011930,20.55000000,0.00011940,10.29000000
MTHBTC,0.00000000,0.00000000,0.00000000,0.00000000
MTHETH,0.00000000,0.00000000,0.00000000,0.00000000
ENGBTC,0.00000000,0.00000000,0.00000000,0.00000000
ENGETH,0.00000000,0.00000000,0.00000000,0.00000000
DNTBTC,0.00000000,0.00000000,0.00000000,0.00000000
ZECBTC,0.00358800,0.33700000,0.00358890,0.33700000
ZECETH,0.11677000,0.24300000,0.11716000,0.24300000
BNTBTC,0.00000000,0.00000000,0.00000000,0.00000000
ASTBTC,0.00000000,0.00000000,0.00000000,0.00000000
ASTETH,0.00000000,0.00000000,0.00000000,0.00000000
DASHBTC,0.00045380,2.53100000,0.00045470,2.53100000
DASHETH,0.00000000,0.00000000,0.00000000,0.00000000
OAXBTC,0.00000000,0.00000000,0.00000000,0.00000000
ICNBTC,0.00000000,0.00000000,0.00000000,0.00000000
BTGBTC,0.00000000,0.00000000,0.00000000,0.00000000
BTGETH,0.00000000,0.00000000,0.00000000,0.00000000
EVXBTC,0.00000000,0.00000000,0.00000000,0.00000000
EVXETH,0.00000000,0.00000000,0.00000000,0.00000000
REQBTC,0.00000000,0.00000000,0.00000000,0.00000000
REQETH,0.00000000,0.00000000,0.00000000,0.00000000
VIBBTC,0.00000000,0.00000000,0.00000000,0.00000000
VIBETH,0.00000000,0.00000000,0.00000000,0.00000000
HSRETH,0.00000000,0.00000000,0.00000000,0.00000000
TRXBTC,0.00000471,680222.00000000,0.00000472,690763.00000000
TRXETH,0.00015352,573.00000000,0.00015362,573.00000000
POWRBTC,0.00000000,0.00000000,0.00000000,0.00000000
POWRETH,0.00000000,0.00000000,0.00000000,0.00000000
ARKBTC,0.00000000,0.00000000,0.00000000,0.00000000
ARKETH,0.00000000,0.00000000,0.00000000,0.00000000
YOYOETH,0.00000000,0.00000000,0.00000000,0.00000000
XRPBTC,0.00001968,16283.80000000,0.00001969,11246.50000000
XRPETH,0.00064090,89.40000000,0.00064100,89.40000000
MODBTC,0.00000000,0.00000000,0.00000000,0.00000000
MODETH,0.00000000,0.00000000,0.00000000,0.00000000
ENJBTC,0.00000000,0.00000000,0.00000000,0.00000000
ENJETH,0.00000000,0.00000000,0.00000000,0.00000000
STORJBTC,0.00000000,0.00000000,0.00000000,0.00000000
STORJETH,0.00000000,0.00000000,0.00000000,0.00000000
BNBUSDT,591.81000000,68.16300000,591.82000000,12.66900000
VENBNB,0.00000000,0.00000000,0.00000000,0.00000000
YOYOBNB,0.00000000,0.00000000,0.00000000,0.00000000
POWRBNB,0.00000000,0.00000000,0.00000000,0.00000000
