symbol,baseAsset,quoteAsset,status,baseAssetPrecision,quoteAssetPrecision,isSpotTradingAllowed,isMarginTradingAllowed,orderTypes
ETHBTC,ETH,BTC,TRADING,8,8,True,True,"LIMIT,LIMIT_MAKER,MARKET,STOP_LOSS,STOP_LOSS_LIMIT,TAKE_PROFIT,TAKE_PROFIT_LIMIT"
LTCBTC,LTC,BTC,TRADING,8,8,True,True,"LIMIT,LIMIT_MAKER,MARKET,STOP_LOSS,STOP_LOSS_LIMIT,TAKE_PROFIT,TAKE_PROFIT_LIMIT"
BNBBTC,BNB,BTC,TRADING,8,8,True,True,"LIMIT,LIMIT_MAKER,MARKET,STOP_LOSS,STOP_LOSS_LIMIT,TAKE_PROFIT,TAKE_PROFIT_LIMIT"
NEOBTC,NEO,BTC,TRADING,8,8,True,False,"LIMIT,LIMIT_MAKER,MARKET,STOP_LOSS,STOP_LOSS_LIMIT,TAKE_PROFIT,TAKE_PROFIT_LIMIT"
QTUMETH,QTUM,ETH,BREAK,8,8,True,False,"LIMIT,LIMIT_MAKER,MARKET,STOP_LOSS,STOP_LOSS_LIMIT,TAKE_PROFIT,TAKE_PROFIT_LIMIT"
EOSETH,EOS,ETH,BREAK,8,8,True,False,"LIMIT,LIMIT_MAKER,MARKET,STOP_LOSS,STOP_LOSS_LIMIT,TAKE_PROFIT,TAKE_PROFIT_LIMIT"
SNTETH,SNT,ETH,BREAK,8,8,True,False,"LIMIT,LIMIT_MAKER,MARKET,STOP_LOSS,STOP_LOSS_LIMIT,TAKE_PROFIT,TAKE_PROFIT_LIMIT"
BNTETH,BNT,ETH,BREAK,8,8,True,False,"LIMIT,LIMIT_MAKER,MARKET,STOP_LOSS,STOP_LOSS_LIMIT,TAKE_PROFIT,TAKE_PROFIT_LIMIT"
BCCBTC,BCC,BTC,BREAK,8,8,True,False,"LIMIT,LIMIT_MAKER,MARKET,STOP_LOSS,STOP_LOSS_LIMIT,TAKE_PROFIT,TAKE_PROFIT_LIMIT"
GASBTC,GAS,BTC,TRADING,8,8,True,False,"LIMIT,LIMIT_MAKER,MARKET,STOP_LOSS,STOP_LOSS_LIMIT,TAKE_PROFIT,TAKE_PROFIT_LIMIT"
BNBETH,BNB,ETH,TRADING,8,8,True,True,"LIMIT,LIMIT_MAKER,MARKET,STOP_LOSS,STOP_LOSS_LIMIT,TAKE_PROFIT,TAKE_PROFIT_LIMIT"
BTCUSDT,BTC,USDT,TRADING,8,8,True,True,"LIMIT,LIMIT_MAKER,MARKET,STOP_LOSS,STOP_LOSS_LIMIT,TAKE_PROFIT,TAKE_PROFIT_LIMIT"
ETHUSDT,ETH,USDT,TRADING,8,8,True,True,"LIMIT,LIMIT_MAKER,MARKET,STOP_LOSS,STOP_LOSS_LIMIT,TAKE_PROFIT,TAKE_PROFIT_LIMIT"
HSRBTC,HSR,BTC,BREAK,8,8,True,False,"LIMIT,LIMIT_MAKER,MARKET,STOP_LOSS,STOP_LOSS_LIMIT,TAKE_PROFIT,TAKE_PROFIT_LIMIT"
OAXETH,OAX,ETH,BREAK,8,8,True,False,"LIMIT,LIMIT_MAKER,MARKET,STOP_LOSS,STOP_LOSS_LIMIT,TAKE_PROFIT,TAKE_PROFIT_LIMIT"
DNTETH,DNT,ETH,BREAK,8,8,True,False,"LIMIT,LIMIT_MAKER,MARKET,STOP_LOSS,STOP_LOSS_LIMIT,TAKE_PROFIT,TAKE_PROFIT_LIMIT"
MCOETH,MCO,ETH,BREAK,8,8,True,False,"LIMIT,LIMIT_MAKER,MARKET,STOP_LOSS,STOP_LOSS_LIMIT,TAKE_PROFIT,TAKE_PROFIT_LIMIT"
ICNETH,ICN,ETH,BREAK,8,8,True,False,"LIMIT,LIMIT_MAKER,MARKET,STOP_LOSS,STOP_LOSS_LIMIT,TAKE_PROFIT,TAKE_PROFIT_LIMIT"
MCOBTC,MCO,BTC,BREAK,8,8,True,False,"LIMIT,LIMIT_MAKER,MARKET,STOP_LOSS,STOP_LOSS_LIMIT,TAKE_PROFIT,TAKE_PROFIT_LIMIT"
WTCBTC,WTC,BTC,BREAK,8,8,True,False,"LIMIT,LIMIT_MAKER,MARKET,STOP_LOSS,STOP_LOSS_LIMIT,TAKE_PROFIT,TAKE_PROFIT_LIMIT"
WTCETH,WTC,ETH,BREAK,8,8,True,False,"LIMIT,LIMIT_MAKER,MARKET,STOP_LOSS,STOP_LOSS_LIMIT,TAKE_PROFIT,TAKE_PROFIT_LIMIT"
LRCBTC,LRC,BTC,BREAK,8,8,True,False,"LIMIT,LIMIT_MAKER,MARKET,STOP_LOSS,STOP_LOSS_LIMIT,TAKE_PROFIT,TAKE_PROFIT_LIMIT"
LRCETH,LRC,ETH,BREAK,8,8,True,False,"LIMIT,LIMIT_MAKER,MARKET,STOP_LOSS,STOP_LOSS_LIMIT,TAKE_PROFIT,TAKE_PROFIT_LIMIT"
QTUMBTC,QTUM,BTC,BREAK,8,8,True,False,"LIMIT,LIMIT_MAKER,MARKET,STOP_LOSS,STOP_LOSS_LIMIT,TAKE_PROFIT,TAKE_PROFIT_LIMIT"
YOYOBTC,YOYO,BTC,BREAK,8,8,True,False,"LIMIT,LIMIT_MAKER,MARKET,STOP_LOSS,STOP_LOSS_LIMIT,TAKE_PROFIT,TAKE_PROFIT_LIMIT"
OMGBTC,OMG,BTC,BREAK,8,8,True,False,"LIMIT,LIMIT_MAKER,MARKET,STOP_LOSS,STOP_LOSS_LIMIT,TAKE_PROFIT,TAKE_PROFIT_LIMIT"
OMGETH,OMG,ETH,BREAK,8,8,True,False,"LIMIT,LIMIT_MAKER,MARKET,STOP_LOSS,STOP_LOSS_LIMIT,TAKE_PROFIT,TAKE_PROFIT_LIMIT"
ZRXBTC,ZRX,BTC,BREAK,8,8,True,False,"LIMIT,LIMIT_MAKER,MARKET,STOP_LOSS,STOP_LOSS_LIMIT,TAKE_PROFIT,TAKE_PROFIT_LIMIT"
ZRXETH,ZRX,ETH,BREAK,8,8,True,False,"LIMIT,LIMIT_MAKER,MARKET,STOP_LOSS,STOP_LOSS_LIMIT,TAKE_PROFIT,TAKE_PROFIT_LIMIT"
STRATBTC,STRAT,BTC,BREAK,8,8,True,False,"LIMIT,LIMIT_MAKER,MARKET,STOP_LOSS,STOP_LOSS_LIMIT,TAKE_PROFIT,TAKE_PROFIT_LIMIT"
