openTime,open,high,low,close,volume,closeTime,quoteAssetVolume,numberOfTrades,takerBuyBaseVolume,takerBuyQuoteVolume,ignore,openTime_dt,closeTime_dt,symbol,interval
1544400000000,1.0139,1.0305,1.0002,1.0085,1351420.1,1545004799999,1365871.67065,2239,465935.06,471394.224119,0,2018-12-10,2018-12-16 23:59:59.999,USDCUSDT,1w
1545004800000,1.011,1.0121,0.9808,0.9966,25082259.29,1545609599999,24981668.66216,58245,8876473.92,8846572.691508,0,2018-12-17,2018-12-23 23:59:59.999,USDCUSDT,1w
1545609600000,0.9966,0.9995,0.9809,0.9933,22389358.63,1546214399999,22204191.277189,56663,10213201.29,10138523.407118,0,2018-12-24,2018-12-30 23:59:59.999,USDCUSDT,1w
1546214400000,0.9932,1.0043,0.9832,0.9885,16200360.66,1546819199999,16097850.487789,37333,7436916.37,7395318.049548,0,2018-12-31,2019-01-06 23:59:59.999,USDCUSDT,1w
1546819200000,0.9884,0.9939,0.9728,0.9902,24514894.97,1547423999999,24262634.050739,60576,7837693.38,7763397.309649,0,2019-01-07,2019-01-13 23:59:59.999,USDCUSDT,1w
1547424000000,0.9902,1.002,0.986,1.0006,18604913.47,1548028799999,18476229.025547,38768,5026286.98,4998226.405491,0,2019-01-14,2019-01-20 23:59:59.999,USDCUSDT,1w
1548028800000,1.0006,1.0075,0.9969,1.0064,13424499.61,1548633599999,13431959.91839,40214,4920532.69,4927557.996151,0,2019-01-21,2019-01-27 23:59:59.999,USDCUSDT,1w
1548633600000,1.0062,1.014,1.0,1.0132,16519454.08,1549238399999,16624821.522334,45846,6712997.62,6761342.165384,0,2019-01-28,2019-02-03 23:59:59.999,USDCUSDT,1w
1549238400000,1.0123,10.11,1.004,1.0089,12242894.98,1549843199999,12403881.105197,40099,5545949.71,5631403.48328,0,2019-02-04,2019-02-10 23:59:59.999,USDCUSDT,1w
1549843200000,1.0078,1.0165,1.0066,1.0123,11523252.6,1550447999999,11651165.702301,38160,5149523.49,5209353.658658,0,2019-02-11,2019-02-17 23:59:59.999,USDCUSDT,1w
1550448000000,1.0126,1.0215,1.0002,1.0035,22207717.79,1551052799999,22366200.049276,71540,9586440.94,9664072.510034,0,2019-02-18,2019-02-24 23:59:59.999,USDCUSDT,1w
1551052800000,1.0035,1.0094,1.0011,1.0058,13685527.8,1551657599999,13748186.477541,42319,5997079.78,6027366.612961,0,2019-02-25,2019-03-03 23:59:59.999,USDCUSDT,1w
1551657600000,1.0058,1.0079,1.001,1.0048,16090039.86,1552262399999,16155401.694894,37972,7467584.03,7501313.682812,0,2019-03-04,2019-03-10 23:59:59.999,USDCUSDT,1w
1552262400000,1.0055,1.0105,1.0002,1.0042,16367180.01,1552867199999,16456771.535684,38938,6709176.49,6750465.992412,0,2019-03-11,2019-03-17 23:59:59.999,USDCUSDT,1w
1552867200000,1.0042,1.007,1.0,1.005,15866067.86,1553471999999,15928793.192785,34260,4655009.76,4676362.060814,0,2019-03-18,2019-03-24 23:59:59.999,USDCUSDT,1w
1553472000000,1.005,1.0089,1.0008,1.0025,14734248.5,1554076799999,14797478.564475,28991,5919180.53,5946149.858591,0,2019-03-25,2019-03-31 23:59:59.999,USDCUSDT,1w
1554076800000,1.0025,1.0049,0.9731,0.9954,38303273.86,1554681599999,38097364.670211,93545,14393984.72,14325034.357409,0,2019-04-01,2019-04-07 23:59:59.999,USDCUSDT,1w
1554681600000,0.9964,0.9995,0.981,0.9933,25491008.34,1555286399999,25286816.364726,61163,10420230.62,10343168.582213,0,2019-04-08,2019-04-14 23:59:59.999,USDCUSDT,1w
