symbol,price
ETHBTC,0.03072000
LTCBTC,0.00078400
BNBBTC,0.00884300
NEOBTC,0.00004091
QTUMETH,0.00046550
EOSETH,0.00030670
SNTETH,0.00001700
BNTETH,0.00020260
BCCBTC,0.00000000
GASBTC,0.00002400
BNBETH,0.28790000
BTCUSDT,66930.11000000
ETHUSDT,2055.69000000
HSRBTC,0.00000000
OAXETH,0.00000000
DNTETH,0.00000000
MCOETH,0.00000000
ICNETH,0.00000000
MCOBTC,0.00000000
WTCBTC,0.00000024
WTCETH,0.00000000
LRCBTC,0.00000052
LRCETH,0.00001675
QTUMBTC,0.00001628
YOYOBTC,0.00000000
OMGBTC,0.00003080
OMGETH,0.00079100
ZRXBTC,0.00000154
ZRXETH,0.00009940
STRATBTC,0.00000000
STRATETH,0.00000000
SNGLSBTC,0.00000000
SNGLSETH,0.00000000
BQXBTC,0.00000000
BQXETH,0.00000000
KNCBTC,0.00000202
KNCETH,0.00039410
FUNBTC,0.00000000
FUNETH,0.00000146
SNMBTC,0.00000057
SNMETH,0.00000000
NEOETH,0.00477500
IOTABTC,0.00000087
IOTAETH,0.00003346
LINKBTC,0.00012800
LINKETH,0.00416600
XVGBTC,0.00000000
XVGETH,0.00000247
SALTBTC,0.00000000
SALTETH,0.00000000
MDABTC,0.00000000
MDAETH,0.00000000
MTLBTC,0.00000405
MTLETH,0.00068340
SUBBTC,0.00000000
SUBETH,0.00000000
EOSBTC,0.00000716
SNTBTC,0.00000032
ETCETH,0.00387000
ETCBTC,0.00011960
MTHBTC,0.00000000
MTHETH,0.00000000
ENGBTC,0.00000000
ENGETH,0.00000000
DNTBTC,0.00000186
ZECBTC,0.00358790
ZECETH,0.11677000
BNTBTC,0.00000794
ASTBTC,0.00000124
ASTETH,0.00000000
DASHBTC,0.00045460
DASHETH,0.02084000
OAXBTC,0.00000038
ICNBTC,0.00000000
BTGBTC,0.00091300
BTGETH,0.00000000
EVXBTC,0.00000000
EVXETH,0.00000000
REQBTC,0.00000112
REQETH,0.00000000
VIBBTC,0.00000051
VIBETH,0.00003450
HSRETH,0.00000000
TRXBTC,0.00000471
TRXETH,0.00015348
