symbol,lastUpdateId,side,price,qty
USDCUSDT,2209824725,bid,1.0001,38572015.0
USDCUSDT,2209824725,bid,1.0,127528899.0
USDCUSDT,2209824725,bid,0.9999,18370822.0
USDCUSDT,2209824725,bid,0.9998,2751466.0
USDCUSDT,2209824725,bid,0.9997,2500972.0
USDCUSDT,2209824725,bid,0.9996,6964796.0
USDCUSDT,2209824725,bid,0.9995,4660071.0
USDCUSDT,2209824725,bid,0.9994,8049558.0
USDCUSDT,2209824725,bid,0.9993,53577.0
USDCUSDT,2209824725,bid,0.9992,506861.0
USDCUSDT,2209824725,bid,0.9991,281.0
USDCUSDT,2209824725,bid,0.999,89028.0
USDCUSDT,2209824725,bid,0.9989,317.0
USDCUSDT,2209824725,bid,0.9988,14451.0
USDCUSDT,2209824725,bid,0.9987,131.0
USDCUSDT,2209824725,bid,0.9986,814.0
USDCUSDT,2209824725,bid,0.9985,30085.0
USDCUSDT,2209824725,bid,0.9984,180.0
USDCUSDT,2209824725,bid,0.9983,83471.0
USDCUSDT,2209824725,bid,0.9982,17.0
USDCUSDT,2209824725,bid,0.9981,109.0
USDCUSDT,2209824725,bid,0.998,114572.0
USDCUSDT,2209824725,bid,0.9979,37.0
USDCUSDT,2209824725,bid,0.9978,36.0
USDCUSDT,2209824725,bid,0.9977,25.0
USDCUSDT,2209824725,bid,0.9976,10.0
USDCUSDT,2209824725,bid,0.9975,42326.0
USDCUSDT,2209824725,bid,0.9974,30.0
USDCUSDT,2209824725,bid,0.9973,105.0
USDCUSDT,2209824725,bid,0.9972,44.0
USDCUSDT,2209824725,bid,0.9971,125.0
USDCUSDT,2209824725,bid,0.997,5011.0
USDCUSDT,2209824725,bid,0.9969,1607.0
USDCUSDT,2209824725,bid,0.9968,54402.0
USDCUSDT,2209824725,bid,0.9966,128.0
USDCUSDT,2209824725,bid,0.9965,203755.0
USDCUSDT,2209824725,bid,0.9962,12.0
USDCUSDT,2209824725,bid,0.996,1854.0
USDCUSDT,2209824725,bid,0.9959,15.0
USDCUSDT,2209824725,bid,0.9957,99.0
USDCUSDT,2209824725,bid,0.9956,121.0
USDCUSDT,2209824725,bid,0.9953,6.0
USDCUSDT,2209824725,bid,0.9952,99.0
USDCUSDT,2209824725,bid,0.9951,6391.0
USDCUSDT,2209824725,bid,0.995,56753.0
USDCUSDT,2209824725,bid,0.9949,42.0
USDCUSDT,2209824725,bid,0.9948,780.0
USDCUSDT,2209824725,bid,0.9947,21.0
USDCUSDT,2209824725,bid,0.9946,30.0
USDCUSDT,2209824725,bid,0.9945,32.0
USDCUSDT,2209824725,bid,0.9944,93.0
USDCUSDT,2209824725,bid,0.9943,99.0
USDCUSDT,2209824725,bid,0.9942,58.0
USDCUSDT,2209824725,bid,0.9941,19.0
USDCUSDT,2209824725,bid,0.994,1016.0
USDCUSDT,2209824725,bid,0.9939,8.0
USDCUSDT,2209824725,bid,0.9938,45.0
USDCUSDT,2209824725,bid,0.9937,232.0
USDCUSDT,2209824725,bid,0.9936,7.0
USDCUSDT,2209824725,bid,0.9932,111.0
USDCUSDT,2209824725,bid,0.993,4001034.0
USDCUSDT,2209824725,bid,0.9927,99.0
USDCUSDT,2209824725,bid,0.9926,12.0
USDCUSDT,2209824725,bid,0.9925,27578.0
USDCUSDT,2209824725,bid,0.9924,44.0
USDCUSDT,2209824725,bid,0.9923,36.0
USDCUSDT,2209824725,bid,0.9922,151.0
USDCUSDT,2209824725,bid,0.992,10.0
USDCUSDT,2209824725,bid,0.9919,34.0
USDCUSDT,2209824725,bid,0.9918,165.0
USDCUSDT,2209824725,bid,0.9917,117.0
USDCUSDT,2209824725,bid,0.9914,26.0
USDCUSDT,2209824725,bid,0.9913,106.0
USDCUSDT,2209824725,bid,0.9911,119.0
USDCUSDT,2209824725,bid,0.991,10.0
USDCUSDT,2209824725,bid,0.9908,105.0
USDCUSDT,2209824725,bid,0.9905,12.0
USDCUSDT,2209824725,bid,0.9903,99.0
USDCUSDT,2209824725,bid,0.9902,52.0
USDCUSDT,2209824725,bid,0.9901,6.0
USDCUSDT,2209824725,bid,0.99,117184.0
USDCUSDT,2209824725,bid,0.9898,139.0
USDCUSDT,2209824725,bid,0.9897,9093.0
USDCUSDT,2209824725,bid,0.9895,7.0
USDCUSDT,2209824725,bid,0.9893,105.0
USDCUSDT,2209824725,bid,0.989,10.0
USDCUSDT,2209824725,bid,0.9889,14358.0
USDCUSDT,2209824725,bid,0.9888,126.0
USDCUSDT,2209824725,bid,0.9887,12.0
USDCUSDT,2209824725,bid,0.9884,32.0
USDCUSDT,2209824725,bid,0.9883,99.0
USDCUSDT,2209824725,bid,0.9882,179.0
USDCUSDT,2209824725,bid,0.9881,29.0
USDCUSDT,2209824725,bid,0.988,10.0
USDCUSDT,2209824725,bid,0.9878,105.0
USDCUSDT,2209824725,bid,0.9876,1134.0
USDCUSDT,2209824725,bid,0.9873,99.0
USDCUSDT,2209824725,bid,0.9872,12.0
