symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count,openTime_dt,closeTime_dt
ETHBTC,-0.00030000,-0.967,0.03118257,0.03102000,0.03072000,27.73280000,0.03071000,87.28480000,0.03072000,20.51870000,0.03102000,0.03162000,0.03070000,21292.57770000,663.95738403,1775030391863,1775116791863,527439730,527500412,60683,2026-04-01 07:59:51.863,2026-04-02 07:59:51.863
LTCBTC,-0.00000600,-0.760,0.00078850,0.00079000,0.00078300,12.36800000,0.00078300,497.71500000,0.00078400,255.68800000,0.00078900,0.00079700,0.00078300,15805.67100000,12.46282316,1775030383789,1775116783789,106861456,106863703,2248,2026-04-01 07:59:43.789,2026-04-02 07:59:43.789
BNBBTC,-0.00012900,-1.438,0.00893406,0.00897200,0.00884300,0.05800000,0.00884400,0.45500000,0.00884500,20.33600000,0.00897200,0.00901500,0.00884100,26215.31100000,234.20917465,1775030398053,1775116798053,284396006,284430659,34654,2026-04-01 07:59:58.053,2026-04-02 07:59:58.053
NEOBTC,0.00000115,2.892,0.00004052,0.00003964,0.00004091,21.76000000,0.00004085,92.67000000,0.00004091,91.86000000,0.00003976,0.00004127,0.00003964,15202.89000000,0.61602083,1775030371472,1775116771472,47802577,47802884,308,2026-04-01 07:59:31.472,2026-04-02 07:59:31.472
QTUMETH,-0.00005160,-9.979,0.00046193,0.00000000,0.00046550,4.40000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00051710,0.00070000,0.00039840,354110.50000000,163.57504584,1774248208591,1774334608591,5539691,5543690,4000,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
EOSETH,-0.00000100,-0.325,0.00029918,0.00000000,0.00030670,8.30000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00030770,0.00032500,0.00028160,391642.70000000,117.17343445,1774248208591,1774334608591,23920853,23924852,4000,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
SNTETH,0.00000231,15.725,0.00001396,0.00000000,0.00001700,203.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00001469,0.00004538,0.00001094,11484111.00000000,160.35207145,1774248208591,1774334608591,4106153,4110152,4000,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
BNTETH,-0.00001900,-8.574,0.00021795,0.00000000,0.00020260,466.30000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00022160,0.00023590,0.00019450,263070.30000000,57.33680762,1774248208591,1774334608591,2375783,2379782,4000,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
BCCBTC,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
GASBTC,0.00000050,2.128,0.00002387,0.00002360,0.00002400,15.00000000,0.00002390,5050.40000000,0.00002410,1108.40000000,0.00002350,0.00002430,0.00002340,7938.00000000,0.18948922,1775030377459,1775116777459,22940609,22940796,188,2026-04-01 07:59:37.459,2026-04-02 07:59:37.459
BNBETH,-0.00130000,-0.450,0.28707767,0.28920000,0.28790000,0.41500000,0.28780000,14.63000000,0.28790000,13.25300000,0.28920000,0.29030000,0.28400000,17424.84400000,5002.28363210,1775030395222,1775116795222,71415534,71441278,25745,2026-04-01 07:59:55.222,2026-04-02 07:59:55.222
BTCUSDT,-1764.98000000,-2.569,67914.18613444,68695.76000000,66930.79000000,0.06403000,66930.78000000,2.59697000,66930.79000000,0.46282000,68695.77000000,69171.77000000,66217.07000000,18822.46802000,1278312596.61990750,1775030398002,1775116798002,6174189264,6178257427,4068164,2026-04-01 07:59:58.002,2026-04-02 07:59:58.002
ETHUSDT,-74.91000000,-3.515,2120.15950676,2131.00000000,2056.09000000,0.10500000,2056.09000000,31.00120000,2056.10000000,0.51270000,2131.00000000,2167.85000000,2038.63000000,437728.29150000,928053798.60129200,1775030398004,1775116798004,3888090641,3892893275,4802635,2026-04-01 07:59:58.004,2026-04-02 07:59:58.004
HSRBTC,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
OAXETH,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
DNTETH,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
MCOETH,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
ICNETH,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
MCOBTC,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
WTCBTC,-0.00000065,-73.034,0.00000078,0.00000000,0.00000024,4304.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000089,0.00000117,0.00000022,11331662.00000000,8.84776703,1774248208591,1774334608591,20357999,20361998,4000,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
WTCETH,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
LRCBTC,-0.00000005,-8.772,0.00000055,0.00000000,0.00000052,10208.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000057,0.00000059,0.00000048,7873696.00000000,4.31681597,1774248208591,1774334608591,23019424,23023423,4000,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
LRCETH,-0.00000410,-19.664,0.00001976,0.00000000,0.00001675,77.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00002085,0.00002402,0.00001376,5957955.00000000,117.75867359,1774248208591,1774334608591,5005775,5009774,4000,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
QTUMBTC,-0.00000155,-8.693,0.00001766,0.00000000,0.00001628,13.10000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00001783,0.00001952,0.00001585,248222.50000000,4.38452058,1774248208591,1774334608591,24785247,24789246,4000,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
YOYOBTC,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
OMGBTC,-0.00000540,-14.917,0.00003238,0.00000000,0.00003080,682.50000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00003620,0.00003630,0.00003000,597457.90000000,19.34446564,1774248208591,1774334608591,26257850,26261849,4000,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
OMGETH,-0.00026500,-25.095,0.00089463,0.00000000,0.00079100,453.90000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00105600,0.00107400,0.00076000,351567.30000000,314.52096300,1774248208591,1774334608591,5903044,5907043,4000,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
ZRXBTC,-0.00000035,-18.519,0.00000173,0.00000000,0.00000154,1484.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000189,0.00000200,0.00000152,2204487.00000000,3.80455335,1774248208591,1774334608591,26544917,26548916,4000,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
ZRXETH,-0.00004860,-32.838,0.00012574,0.00000000,0.00009940,1079.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00014800,0.00015160,0.00008510,1984878.00000000,249.57603080,1774248208591,1774334608591,5375532,5379531,4000,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
STRATBTC,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
STRATETH,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
SNGLSBTC,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
SNGLSETH,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
BQXBTC,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
BQXETH,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
KNCBTC,-0.00000005,-2.415,0.00000205,0.00000206,0.00000202,2065.80000000,0.00000201,39194.20000000,0.00000202,29879.00000000,0.00000207,0.00000207,0.00000201,470917.30000000,0.96552188,1775030384646,1775116784646,21294111,21294510,400,2026-04-01 07:59:44.646,2026-04-02 07:59:44.646
KNCETH,-0.00010460,-20.975,0.00043492,0.00000000,0.00039410,37.80000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00049870,0.00050200,0.00039300,343725.10000000,149.49148975,1774248208591,1774334608591,4743464,4747463,4000,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
FUNBTC,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
FUNETH,-0.00000037,-20.219,0.00000165,0.00000000,0.00000146,39584.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000183,0.00000184,0.00000139,53487685.00000000,88.22246770,1774248208591,1774334608591,3297964,3301963,4000,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
SNMBTC,-0.00000062,-52.101,0.00000080,0.00000000,0.00000057,46703.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000119,0.00000123,0.00000055,16010793.00000000,12.82046841,1774248208591,1774334608591,14647718,14651718,4001,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
SNMETH,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
NEOETH,-0.00092000,-16.155,0.00494232,0.00000000,0.00477500,0.81000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00569500,0.00577900,0.00439500,37983.48000000,187.72666444,1774248208591,1774334608591,11461786,11465785,4000,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
IOTABTC,0.00000004,4.819,0.00000086,0.00000083,0.00000087,98427.00000000,0.00000087,112012.00000000,0.00000088,49251.00000000,0.00000083,0.00000091,0.00000083,950384.00000000,0.82023621,1775030236833,1775116636833,35596113,35596458,346,2026-04-01 07:57:16.833,2026-04-02 07:57:16.833
IOTAETH,-0.00000606,-15.334,0.00003618,0.00000000,0.00003346,59.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00003952,0.00004700,0.00002687,6859126.00000000,248.16183121,1774248208591,1774334608591,7918919,7922918,4000,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
